date,account,description,info,amount,row_type,source_file
2023-06-30,nordnet_salkkuraportti,CubeSmart,Salkku 1,6547.12,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-06-30,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-06-30,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,17428.91,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-06-30,nordnet_salkkuraportti,CubeSmart,Salkku 1,6738.83,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-09-30,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8614.75,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-09-30,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,28192.33,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-09-30,nordnet_salkkuraportti,CubeSmart,Salkku 1,5770.41,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-09-30,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-09-30,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,17428.91,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-09-30,nordnet_salkkuraportti,CubeSmart,Salkku 1,6738.83,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-01-31,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-01-31,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,17428.91,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-01-31,nordnet_salkkuraportti,CubeSmart,Salkku 1,6738.83,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-01-31,nordnet_salkkuraportti,Likvidit varat,Salkku 3,1692.41,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-01-31,nordnet_salkkuraportti,iShares Core MSCI World UCITS ETF USD (Acc),Salkku 3,18313.61,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-01-31,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-01-31,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,17428.91,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-01-31,nordnet_salkkuraportti,CubeSmart,Salkku 1,6738.83,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-10-31,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,7155.15,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-10-31,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,25456.68,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-10-31,nordnet_salkkuraportti,CubeSmart,Salkku 1,5158.22,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-10-31,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-10-31,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,17428.91,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-10-31,nordnet_salkkuraportti,CubeSmart,Salkku 1,6738.83,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-12-31,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8249.99,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-12-31,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,29314.14,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-12-31,nordnet_salkkuraportti,CubeSmart,Salkku 1,13014.93,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-12-31,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-12-31,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,17428.91,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-12-31,nordnet_salkkuraportti,CubeSmart,Salkku 1,6738.83,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-03-31,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,6355.66,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-03-31,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,16251.22,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-03-31,nordnet_salkkuraportti,CubeSmart,Salkku 1,6817.72,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-03-31,nordnet_salkkuraportti,Likvidit varat,Salkku 3,1692.41,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-03-31,nordnet_salkkuraportti,iShares Core MSCI World UCITS ETF USD (Acc),Salkku 3,18456.37,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-03-31,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-03-31,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,17428.91,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-03-31,nordnet_salkkuraportti,CubeSmart,Salkku 1,6738.83,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-05-31,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,7080.47,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-05-31,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,15819.42,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-05-31,nordnet_salkkuraportti,CubeSmart,Salkku 1,6654.11,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-05-31,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-05-31,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,17428.91,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-05-31,nordnet_salkkuraportti,CubeSmart,Salkku 1,6738.83,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-07-31,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,9227.57,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-07-31,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,30456.51,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-07-31,nordnet_salkkuraportti,CubeSmart,Salkku 1,6309.6,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-07-31,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-07-31,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,17428.91,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-07-31,nordnet_salkkuraportti,CubeSmart,Salkku 1,6738.83,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-08-31,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8830.95,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-08-31,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,29098.41,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-08-31,nordnet_salkkuraportti,CubeSmart,Salkku 1,6154.36,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-08-31,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-08-31,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,17428.91,Actual,nordnet_salkkuraportti_preprocessed.csv
2024-08-31,nordnet_salkkuraportti,CubeSmart,Salkku 1,6738.83,Actual,nordnet_salkkuraportti_preprocessed.csv
,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,Actual,nordnet_salkkuraportti_preprocessed.csv
,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,17428.91,Actual,nordnet_salkkuraportti_preprocessed.csv
,nordnet_salkkuraportti,CubeSmart,Salkku 1,6738.83,Actual,nordnet_salkkuraportti_preprocessed.csv
2023-06-16,osingot,O,ENNAKKOPIDÄTYS,-13.28,Actual,osingot-2023-2024.csv
2023-06-16,osingot,O,OSINKO,88.56,Actual,osingot-2023-2024.csv
2023-05-16,osingot,O,ENNAKKOPIDÄTYS,-13.36,Actual,osingot-2023-2024.csv
2023-05-16,osingot,O,OSINKO,89.05,Actual,osingot-2023-2024.csv
2023-04-17,osingot,O,ENNAKKOPIDÄTYS,-13.22,Actual,osingot-2023-2024.csv
2023-04-17,osingot,O,OSINKO,88.11,Actual,osingot-2023-2024.csv
2023-03-16,osingot,O,ENNAKKOPIDÄTYS,-13.66,Actual,osingot-2023-2024.csv
2023-03-16,osingot,O,OSINKO,91.05,Actual,osingot-2023-2024.csv
2023-02-16,osingot,O,ENNAKKOPIDÄTYS,-13.22,Actual,osingot-2023-2024.csv
2023-02-16,osingot,O,OSINKO,88.13,Actual,osingot-2023-2024.csv
2023-01-16,osingot,O,ENNAKKOPIDÄTYS,-13.1,Actual,osingot-2023-2024.csv
2023-01-16,osingot,O,OSINKO,87.35,Actual,osingot-2023-2024.csv
2024-02-16,osingot,O,ENNAKKOPIDÄTYS,-13.22,Actual,osingot-2023-2024.csv
2024-02-16,osingot,O,OSINKO,88.13,Actual,osingot-2023-2024.csv
2024-01-16,osingot,O,ENNAKKOPIDÄTYS,-13.1,Actual,osingot-2023-2024.csv
2024-01-16,osingot,O,OSINKO,87.35,Actual,osingot-2023-2024.csv
2024-06-16,osingot,O,ENNAKKOPIDÄTYS,-13.28,Actual,osingot-2023-2024.csv
2024-06-16,osingot,O,OSINKO,88.56,Actual,osingot-2023-2024.csv
2024-05-16,osingot,O,ENNAKKOPIDÄTYS,-13.36,Actual,osingot-2023-2024.csv
2024-05-16,osingot,O,OSINKO,89.05,Actual,osingot-2023-2024.csv
2024-04-17,osingot,O,ENNAKKOPIDÄTYS,-13.22,Actual,osingot-2023-2024.csv
2024-04-17,osingot,O,OSINKO,88.11,Actual,osingot-2023-2024.csv
2024-03-16,osingot,O,ENNAKKOPIDÄTYS,-13.66,Actual,osingot-2023-2024.csv
2024-03-16,osingot,O,OSINKO,91.05,Actual,osingot-2023-2024.csv
2024-07-16,osingot,O,ENNAKKOPIDÄTYS,-13.22,Actual,osingot-2023-2024.csv
2024-07-16,osingot,O,OSINKO,88.13,Actual,osingot-2023-2024.csv
2023-03-31,penno,Palkka,Matkakorvauksia,200.0,Actual,penno.xlsx
2023-03-30,penno,Palkka,,1000.0,Actual,penno.xlsx
2023-03-29,penno,Kahvittelu,Pulla,-3.5,Actual,penno.xlsx
2023-03-29,penno,Liikenne,Bussi,-3.1,Actual,penno.xlsx
2023-03-28,penno,Liikenne,Juna,-19.1,Actual,penno.xlsx
2023-03-28,penno,Ruokakauppa,,-2.74,Actual,penno.xlsx
2023-03-15,penno,Viihde,SkyShowtime ,-3.49,Actual,penno.xlsx
2023-03-14,penno,Muut,,-25.0,Actual,penno.xlsx
2023-03-14,penno,Ruokakauppa,,-33.9,Actual,penno.xlsx
2023-03-11,penno,Liikenne,Juna,-13.4,Actual,penno.xlsx
2023-03-11,penno,Ruokakauppa,,-21.18,Actual,penno.xlsx
2023-03-03,penno,Asuminen,Sähkö,-16.9,Actual,penno.xlsx
2023-03-01,penno,Viihde,Netflix ,-15.99,Actual,penno.xlsx
2023-03-01,penno,Asuminen,Vastike,-165.9,Actual,penno.xlsx
2023-03-01,penno,Asuminen,Korko,-73.77,Actual,penno.xlsx
2023-06-01,s-pankki,Prisma,KORTTIOSTO,-500.0,Actual,s-pankki_2023_01-2023_06.csv
2023-05-01,s-pankki,Prisma,KORTTIOSTO,-500.0,Actual,s-pankki_2023_01-2023_06.csv
2023-04-01,s-pankki,Prisma,KORTTIOSTO,-500.0,Actual,s-pankki_2023_01-2023_06.csv
2023-03-01,s-pankki,Prisma,KORTTIOSTO,-500.0,Actual,s-pankki_2023_01-2023_06.csv
2023-02-01,s-pankki,Prisma,KORTTIOSTO,-500.0,Actual,s-pankki_2023_01-2023_06.csv
2023-01-01,s-pankki,Prisma,KORTTIOSTO,-500.0,Actual,s-pankki_2023_01-2023_06.csv
2023-12-29,s-pankki,P.Ohatta,HYVITYSKORKO,0.36,Actual,s-pankki_2023_07-2023_12.csv
2023-12-27,s-pankki,Puuilo,KORTTIOSTO,-19.9,Actual,s-pankki_2023_07-2023_12.csv
2023-12-01,s-pankki,Prisma,KORTTIOSTO,-1500.0,Actual,s-pankki_2023_07-2023_12.csv
2023-11-01,s-pankki,Prisma,KORTTIOSTO,-1500.0,Actual,s-pankki_2023_07-2023_12.csv
2023-10-01,s-pankki,Prisma,KORTTIOSTO,-1500.0,Actual,s-pankki_2023_07-2023_12.csv
2023-09-01,s-pankki,Prisma,KORTTIOSTO,-1500.0,Actual,s-pankki_2023_07-2023_12.csv
2023-08-01,s-pankki,Prisma,KORTTIOSTO,-1500.0,Actual,s-pankki_2023_07-2023_12.csv
2023-07-01,s-pankki,Prisma,KORTTIOSTO,-1500.0,Actual,s-pankki_2023_07-2023_12.csv
2024-02-28,s-pankki,Oma tilisiirto,KORTTIOSTO,-500.0,Actual,s-pankki_2024_01-2024_12.csv
2024-02-01,s-pankki,Prisma,KORTTIOSTO,-500.0,Actual,s-pankki_2024_01-2024_12.csv
2024-03-01,s-pankki,Prisma,KORTTIOSTO,-500.0,Actual,s-pankki_2024_01-2024_12.csv
2024-04-01,s-pankki,Prisma,KORTTIOSTO,-500.0,Actual,s-pankki_2024_01-2024_12.csv
2024-05-01,s-pankki,Prisma,KORTTIOSTO,-500.0,Actual,s-pankki_2024_01-2024_12.csv
2024-06-01,s-pankki,Prisma,KORTTIOSTO,-500.0,Actual,s-pankki_2024_01-2024_12.csv
2024-07-01,s-pankki,Prisma,KORTTIOSTO,-500.0,Actual,s-pankki_2024_01-2024_12.csv
2024-08-01,s-pankki,Prisma,KORTTIOSTO,-500.0,Actual,s-pankki_2024_01-2024_12.csv
2024-09-01,s-pankki,Prisma,KORTTIOSTO,-500.0,Actual,s-pankki_2024_01-2024_12.csv
2024-10-01,s-pankki,Prisma,KORTTIOSTO,-500.0,Actual,s-pankki_2024_01-2024_12.csv
2024-11-01,s-pankki,Prisma,KORTTIOSTO,-500.0,Actual,s-pankki_2024_01-2024_12.csv
2024-12-01,s-pankki,Prisma,KORTTIOSTO,-500.0,Actual,s-pankki_2024_01-2024_12.csv
2023-01-31,tulot,ansiotulot,,3000.0,Actual,tulot.csv
2023-02-28,tulot,ansiotulot,,3000.0,Actual,tulot.csv
2023-03-31,tulot,ansiotulot,,3000.0,Actual,tulot.csv
2023-04-30,tulot,ansiotulot,,3000.0,Actual,tulot.csv
2023-05-31,tulot,ansiotulot,,3000.0,Actual,tulot.csv
2023-06-30,tulot,ansiotulot,,3000.0,Actual,tulot.csv
2023-07-31,tulot,ansiotulot,,3000.0,Actual,tulot.csv
2023-08-31,tulot,ansiotulot,,3000.0,Actual,tulot.csv
2023-09-30,tulot,ansiotulot,,3000.0,Actual,tulot.csv
2023-10-31,tulot,ansiotulot,,3000.0,Actual,tulot.csv
2023-11-30,tulot,ansiotulot,,3000.0,Actual,tulot.csv
2023-12-31,tulot,ansiotulot,,3000.0,Actual,tulot.csv
2024-01-31,tulot,ansiotulot,,3500.0,Actual,tulot.csv
2024-02-28,tulot,ansiotulot,,3500.0,Actual,tulot.csv
2024-03-31,tulot,ansiotulot,,3000.0,Actual,tulot.csv
2024-04-30,tulot,ansiotulot,,3000.0,Actual,tulot.csv
2024-05-31,tulot,ansiotulot,,3000.0,Actual,tulot.csv
2024-06-30,tulot,ansiotulot,,3000.0,Actual,tulot.csv
2024-07-31,tulot,ansiotulot,,3000.0,Actual,tulot.csv
2024-08-31,tulot,ansiotulot,,3000.0,Actual,tulot.csv
2024-09-30,tulot,ansiotulot,,3000.0,Actual,tulot.csv
2024-10-31,tulot,ansiotulot,,3000.0,Actual,tulot.csv
2024-11-30,tulot,ansiotulot,,3000.0,Actual,tulot.csv
2024-12-31,tulot,ansiotulot,,3000.0,Actual,tulot.csv
2023-01-31,varat,Nordean sijoitukset,,10000.0,Actual,varat.csv
2023-01-31,varat,S-Pankin saldo,,7460.0,Actual,varat.csv
2023-01-31,varat,Asunto,,100000.0,Actual,varat.csv
2023-02-28,varat,Nordean sijoitukset,,11085.0,Actual,varat.csv
2023-02-28,varat,S-Pankin saldo,,497.0,Actual,varat.csv
2023-02-28,varat,Asunto,,100000.0,Actual,varat.csv
2023-03-31,varat,Nordean sijoitukset,,12471.0,Actual,varat.csv
2023-03-31,varat,S-Pankin saldo,,3925.0,Actual,varat.csv
2023-03-31,varat,Asunto,,100000.0,Actual,varat.csv
2023-04-30,varat,Nordean sijoitukset,,13954.0,Actual,varat.csv
2023-04-30,varat,S-Pankin saldo,,2851.0,Actual,varat.csv
2023-04-30,varat,Asunto,,100000.0,Actual,varat.csv
2023-05-31,varat,Nordean sijoitukset,,15228.0,Actual,varat.csv
2023-05-31,varat,S-Pankin saldo,,201.0,Actual,varat.csv
2023-05-31,varat,Asunto,,100000.0,Actual,varat.csv
2023-06-30,varat,Nordean sijoitukset,,16529.0,Actual,varat.csv
2023-06-30,varat,S-Pankin saldo,,447.0,Actual,varat.csv
2023-06-30,varat,Asunto,,100000.0,Actual,varat.csv
2023-07-31,varat,Nordean sijoitukset,,18019.0,Actual,varat.csv
2023-07-31,varat,S-Pankin saldo,,6680.0,Actual,varat.csv
2023-07-31,varat,Asunto,,100000.0,Actual,varat.csv
2023-08-31,varat,Nordean sijoitukset,,18713.0,Actual,varat.csv
2023-08-31,varat,S-Pankin saldo,,6533.0,Actual,varat.csv
2023-08-31,varat,Asunto,,100000.0,Actual,varat.csv
2023-09-30,varat,Nordean sijoitukset,,20145.0,Actual,varat.csv
2023-09-30,varat,S-Pankin saldo,,9611.0,Actual,varat.csv
2023-09-30,varat,Asunto,,100000.0,Actual,varat.csv
2023-10-31,varat,Nordean sijoitukset,,21624.0,Actual,varat.csv
2023-10-31,varat,S-Pankin saldo,,3103.0,Actual,varat.csv
2023-10-31,varat,Asunto,,100000.0,Actual,varat.csv
2023-11-30,varat,Nordean sijoitukset,,22934.0,Actual,varat.csv
2023-11-30,varat,S-Pankin saldo,,1705.0,Actual,varat.csv
2023-11-30,varat,Asunto,,100000.0,Actual,varat.csv
2023-12-31,varat,Nordean sijoitukset,,23593.0,Actual,varat.csv
2023-12-31,varat,S-Pankin saldo,,3011.0,Actual,varat.csv
2023-12-31,varat,Asunto,,100000.0,Actual,varat.csv
2024-01-31,varat,Nordean sijoitukset,,23893.0,Actual,varat.csv
2024-01-31,varat,S-Pankin saldo,,2000.0,Actual,varat.csv
2024-01-31,varat,Asunto,,100000.0,Actual,varat.csv
2024-02-28,varat,Nordean sijoitukset,,22893.0,Actual,varat.csv
2024-02-28,varat,S-Pankin saldo,,2225.0,Actual,varat.csv
2024-02-28,varat,Asunto,,100000.0,Actual,varat.csv
2024-03-31,varat,Nordean sijoitukset,,12471.0,Actual,varat.csv
2024-03-31,varat,S-Pankin saldo,,3925.0,Actual,varat.csv
2024-03-31,varat,Asunto,,100000.0,Actual,varat.csv
2024-04-30,varat,Nordean sijoitukset,,13954.0,Actual,varat.csv
2024-04-30,varat,S-Pankin saldo,,2851.0,Actual,varat.csv
2024-04-30,varat,Asunto,,100000.0,Actual,varat.csv
2024-05-31,varat,Nordean sijoitukset,,15228.0,Actual,varat.csv
2024-05-31,varat,S-Pankin saldo,,201.0,Actual,varat.csv
2024-05-31,varat,Asunto,,100000.0,Actual,varat.csv
2024-06-30,varat,Nordean sijoitukset,,16529.0,Actual,varat.csv
2024-06-30,varat,S-Pankin saldo,,447.0,Actual,varat.csv
2024-06-30,varat,Asunto,,100000.0,Actual,varat.csv
2024-07-31,varat,Nordean sijoitukset,,18019.0,Actual,varat.csv
2024-07-31,varat,S-Pankin saldo,,6680.0,Actual,varat.csv
2024-07-31,varat,Asunto,,100000.0,Actual,varat.csv
2024-08-31,varat,Nordean sijoitukset,,18713.0,Actual,varat.csv
2024-08-31,varat,S-Pankin saldo,,6533.0,Actual,varat.csv
2024-08-31,varat,Asunto,,100000.0,Actual,varat.csv
2024-09-30,varat,Nordean sijoitukset,,20145.0,Actual,varat.csv
2024-09-30,varat,S-Pankin saldo,,9611.0,Actual,varat.csv
2024-09-30,varat,Asunto,,100000.0,Actual,varat.csv
2024-10-31,varat,Nordean sijoitukset,,21624.0,Actual,varat.csv
2024-10-31,varat,S-Pankin saldo,,3103.0,Actual,varat.csv
2024-10-31,varat,Asunto,,100000.0,Actual,varat.csv
2024-11-30,varat,Nordean sijoitukset,,22934.0,Actual,varat.csv
2024-11-30,varat,S-Pankin saldo,,1705.0,Actual,varat.csv
2024-11-30,varat,Asunto,,100000.0,Actual,varat.csv
2024-12-31,varat,Nordean sijoitukset,,23593.0,Actual,varat.csv
2024-12-31,varat,S-Pankin saldo,,3011.0,Actual,varat.csv
2024-12-31,varat,Asunto,,100000.0,Actual,varat.csv
2023-01-31,velat,asuntolaina,,-90000.0,Actual,velat.csv
2023-02-28,velat,asuntolaina,,-89500.0,Actual,velat.csv
2023-03-31,velat,asuntolaina,,-89000.0,Actual,velat.csv
2023-04-30,velat,asuntolaina,,-88500.0,Actual,velat.csv
2023-05-31,velat,asuntolaina,,-88000.0,Actual,velat.csv
2023-06-30,velat,asuntolaina,,-87500.0,Actual,velat.csv
