date,account,description,info,amount,record_type,source_file,transaction_id
2023-07-04,luottokortti,Netflix,MEMBER ORGANIZATIONS - DEF,-11.65,Actual,luottokortti.xlsx,20230704__luottokortti__netflix__memberorganizationsdef__1165__actual__luottokorttixlsx
2023-07-05,luottokortti,Spotify,DIGITAL GOODS – LARGE DIGITAL GOODS MERCHANT,-12.99,Actual,luottokortti.xlsx,20230705__luottokortti__spotify__digitalgoods–largedigitalgoodsmerchant__1299__actual__luottokorttixlsx
2023-06-04,luottokortti,Netflix,MEMBER ORGANIZATIONS - DEF,-11.65,Actual,luottokortti.xlsx,20230604__luottokortti__netflix__memberorganizationsdef__1165__actual__luottokorttixlsx
2023-06-05,luottokortti,Spotify,DIGITAL GOODS – LARGE DIGITAL GOODS MERCHANT,-12.99,Actual,luottokortti.xlsx,20230605__luottokortti__spotify__digitalgoods–largedigitalgoodsmerchant__1299__actual__luottokorttixlsx
2023-05-05,luottokortti,Netflix,MEMBER ORGANIZATIONS - DEF,-11.65,Actual,luottokortti.xlsx,20230505__luottokortti__netflix__memberorganizationsdef__1165__actual__luottokorttixlsx
2023-05-06,luottokortti,Spotify,DIGITAL GOODS – LARGE DIGITAL GOODS MERCHANT,-12.99,Actual,luottokortti.xlsx,20230506__luottokortti__spotify__digitalgoods–largedigitalgoodsmerchant__1299__actual__luottokorttixlsx
2023-04-05,luottokortti,Netflix,MEMBER ORGANIZATIONS - DEF,-11.65,Actual,luottokortti.xlsx,20230405__luottokortti__netflix__memberorganizationsdef__1165__actual__luottokorttixlsx
2023-04-06,luottokortti,Spotify,DIGITAL GOODS – LARGE DIGITAL GOODS MERCHANT,-12.99,Actual,luottokortti.xlsx,20230406__luottokortti__spotify__digitalgoods–largedigitalgoodsmerchant__1299__actual__luottokorttixlsx
2023-03-06,luottokortti,Netflix,MEMBER ORGANIZATIONS - DEF,-11.65,Actual,luottokortti.xlsx,20230306__luottokortti__netflix__memberorganizationsdef__1165__actual__luottokorttixlsx
2023-03-07,luottokortti,Spotify,DIGITAL GOODS – LARGE DIGITAL GOODS MERCHANT,-12.99,Actual,luottokortti.xlsx,20230307__luottokortti__spotify__digitalgoods–largedigitalgoodsmerchant__1299__actual__luottokorttixlsx
2023-02-04,luottokortti,Netflix,MEMBER ORGANIZATIONS - DEF,-11.65,Actual,luottokortti.xlsx,20230204__luottokortti__netflix__memberorganizationsdef__1165__actual__luottokorttixlsx
2023-02-05,luottokortti,Spotify,DIGITAL GOODS – LARGE DIGITAL GOODS MERCHANT,-12.99,Actual,luottokortti.xlsx,20230205__luottokortti__spotify__digitalgoods–largedigitalgoodsmerchant__1299__actual__luottokorttixlsx
2023-01-05,luottokortti,Netflix,MEMBER ORGANIZATIONS - DEF,-11.65,Actual,luottokortti.xlsx,20230105__luottokortti__netflix__memberorganizationsdef__1165__actual__luottokorttixlsx
2023-01-06,luottokortti,Spotify,DIGITAL GOODS – LARGE DIGITAL GOODS MERCHANT,-12.99,Actual,luottokortti.xlsx,20230106__luottokortti__spotify__digitalgoods–largedigitalgoodsmerchant__1299__actual__luottokorttixlsx
2023-01-31,menot,käteisellä lapaset,,-500.0,Actual,menot.csv,20230131__menot__käteisellälapaset____5000__actual__menotcsv
2023-02-28,menot,muuta,,-201.0,Actual,menot.csv,20230228__menot__muuta____2010__actual__menotcsv
2024-02-28,menot,maksoin yrityksen kuluja käteisellä,,-50.0,Actual,menot.csv,20240228__menot__maksoinyrityksenkulujakäteisellä____500__actual__menotcsv
2024-01-24,nordea,S-MARKET,XXXXX,-22.04,Actual,nordea.csv,20240124__nordea__smarket__xxxxx__2204__actual__nordeacsv
2023-02-27,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8552.46,Actual,nordnet_salkkuraportti_preprocessed.csv,20230227__nordnet_salkkuraportti__arborrealtytrust__salkku1__855246__actual__nordnet_salkkuraportti_preprocessedcsv
2023-02-27,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,17372.94,Actual,nordnet_salkkuraportti_preprocessed.csv,20230227__nordnet_salkkuraportti__bankofnovascotia__salkku1__1737294__actual__nordnet_salkkuraportti_preprocessedcsv
2023-02-27,nordnet_salkkuraportti,CubeSmart,Salkku 1,7034.91,Actual,nordnet_salkkuraportti_preprocessed.csv,20230227__nordnet_salkkuraportti__cubesmart__salkku1__703491__actual__nordnet_salkkuraportti_preprocessedcsv
2023-02-27,nordnet_salkkuraportti,Likvidit varat,Salkku 3,1692.41,Actual,nordnet_salkkuraportti_preprocessed.csv,20230227__nordnet_salkkuraportti__likviditvarat__salkku3__169241__actual__nordnet_salkkuraportti_preprocessedcsv
2023-02-27,nordnet_salkkuraportti,iShares Core MSCI World UCITS ETF USD (Acc),Salkku 3,18489.97,Actual,nordnet_salkkuraportti_preprocessed.csv,20230227__nordnet_salkkuraportti__isharescoremsciworlducitsetfusdacc__salkku3__1848997__actual__nordnet_salkkuraportti_preprocessedcsv
2024-02-28,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,Actual,nordnet_salkkuraportti_preprocessed.csv,20240228__nordnet_salkkuraportti__arborrealtytrust__salkku1__823958__actual__nordnet_salkkuraportti_preprocessedcsv
2024-02-28,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,17428.91,Actual,nordnet_salkkuraportti_preprocessed.csv,20240228__nordnet_salkkuraportti__bankofnovascotia__salkku1__1742891__actual__nordnet_salkkuraportti_preprocessedcsv
2024-02-28,nordnet_salkkuraportti,CubeSmart,Salkku 1,6738.83,Actual,nordnet_salkkuraportti_preprocessed.csv,20240228__nordnet_salkkuraportti__cubesmart__salkku1__673883__actual__nordnet_salkkuraportti_preprocessedcsv
2023-11-30,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,6879.18,Actual,nordnet_salkkuraportti_preprocessed.csv,20231130__nordnet_salkkuraportti__arborrealtytrust__salkku1__687918__actual__nordnet_salkkuraportti_preprocessedcsv
2023-11-30,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,27330.59,Actual,nordnet_salkkuraportti_preprocessed.csv,20231130__nordnet_salkkuraportti__bankofnovascotia__salkku1__2733059__actual__nordnet_salkkuraportti_preprocessedcsv
2023-11-30,nordnet_salkkuraportti,CubeSmart,Salkku 1,11323.45,Actual,nordnet_salkkuraportti_preprocessed.csv,20231130__nordnet_salkkuraportti__cubesmart__salkku1__1132345__actual__nordnet_salkkuraportti_preprocessedcsv
2024-11-30,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,Actual,nordnet_salkkuraportti_preprocessed.csv,20241130__nordnet_salkkuraportti__arborrealtytrust__salkku1__823958__actual__nordnet_salkkuraportti_preprocessedcsv
2024-11-30,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,17428.91,Actual,nordnet_salkkuraportti_preprocessed.csv,20241130__nordnet_salkkuraportti__bankofnovascotia__salkku1__1742891__actual__nordnet_salkkuraportti_preprocessedcsv
2024-11-30,nordnet_salkkuraportti,CubeSmart,Salkku 1,6738.83,Actual,nordnet_salkkuraportti_preprocessed.csv,20241130__nordnet_salkkuraportti__cubesmart__salkku1__673883__actual__nordnet_salkkuraportti_preprocessedcsv
2023-04-30,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,6245.23,Actual,nordnet_salkkuraportti_preprocessed.csv,20230430__nordnet_salkkuraportti__arborrealtytrust__salkku1__624523__actual__nordnet_salkkuraportti_preprocessedcsv
2023-04-30,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,15858.1,Actual,nordnet_salkkuraportti_preprocessed.csv,20230430__nordnet_salkkuraportti__bankofnovascotia__salkku1__158581__actual__nordnet_salkkuraportti_preprocessedcsv
2023-04-30,nordnet_salkkuraportti,CubeSmart,Salkku 1,6604.95,Actual,nordnet_salkkuraportti_preprocessed.csv,20230430__nordnet_salkkuraportti__cubesmart__salkku1__660495__actual__nordnet_salkkuraportti_preprocessedcsv
2023-04-30,nordnet_salkkuraportti,Likvidit varat,Salkku 3,1692.41,Actual,nordnet_salkkuraportti_preprocessed.csv,20230430__nordnet_salkkuraportti__likviditvarat__salkku3__169241__actual__nordnet_salkkuraportti_preprocessedcsv
2023-04-30,nordnet_salkkuraportti,iShares Core MSCI World UCITS ETF USD (Acc),Salkku 3,18504.26,Actual,nordnet_salkkuraportti_preprocessed.csv,20230430__nordnet_salkkuraportti__isharescoremsciworlducitsetfusdacc__salkku3__1850426__actual__nordnet_salkkuraportti_preprocessedcsv
2023-06-30,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8147.25,Actual,nordnet_salkkuraportti_preprocessed.csv,20230630__nordnet_salkkuraportti__arborrealtytrust__salkku1__814725__actual__nordnet_salkkuraportti_preprocessedcsv
2023-06-30,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,16046.62,Actual,nordnet_salkkuraportti_preprocessed.csv,20230630__nordnet_salkkuraportti__bankofnovascotia__salkku1__1604662__actual__nordnet_salkkuraportti_preprocessedcsv
2023-06-30,nordnet_salkkuraportti,CubeSmart,Salkku 1,6547.12,Actual,nordnet_salkkuraportti_preprocessed.csv,20230630__nordnet_salkkuraportti__cubesmart__salkku1__654712__actual__nordnet_salkkuraportti_preprocessedcsv
2024-06-30,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,Actual,nordnet_salkkuraportti_preprocessed.csv,20240630__nordnet_salkkuraportti__arborrealtytrust__salkku1__823958__actual__nordnet_salkkuraportti_preprocessedcsv
2024-06-30,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,17428.91,Actual,nordnet_salkkuraportti_preprocessed.csv,20240630__nordnet_salkkuraportti__bankofnovascotia__salkku1__1742891__actual__nordnet_salkkuraportti_preprocessedcsv
2024-06-30,nordnet_salkkuraportti,CubeSmart,Salkku 1,6738.83,Actual,nordnet_salkkuraportti_preprocessed.csv,20240630__nordnet_salkkuraportti__cubesmart__salkku1__673883__actual__nordnet_salkkuraportti_preprocessedcsv
2023-09-30,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8614.75,Actual,nordnet_salkkuraportti_preprocessed.csv,20230930__nordnet_salkkuraportti__arborrealtytrust__salkku1__861475__actual__nordnet_salkkuraportti_preprocessedcsv
2023-09-30,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,28192.33,Actual,nordnet_salkkuraportti_preprocessed.csv,20230930__nordnet_salkkuraportti__bankofnovascotia__salkku1__2819233__actual__nordnet_salkkuraportti_preprocessedcsv
2023-09-30,nordnet_salkkuraportti,CubeSmart,Salkku 1,5770.41,Actual,nordnet_salkkuraportti_preprocessed.csv,20230930__nordnet_salkkuraportti__cubesmart__salkku1__577041__actual__nordnet_salkkuraportti_preprocessedcsv
2024-09-30,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,Actual,nordnet_salkkuraportti_preprocessed.csv,20240930__nordnet_salkkuraportti__arborrealtytrust__salkku1__823958__actual__nordnet_salkkuraportti_preprocessedcsv
2024-09-30,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,17428.91,Actual,nordnet_salkkuraportti_preprocessed.csv,20240930__nordnet_salkkuraportti__bankofnovascotia__salkku1__1742891__actual__nordnet_salkkuraportti_preprocessedcsv
2024-09-30,nordnet_salkkuraportti,CubeSmart,Salkku 1,6738.83,Actual,nordnet_salkkuraportti_preprocessed.csv,20240930__nordnet_salkkuraportti__cubesmart__salkku1__673883__actual__nordnet_salkkuraportti_preprocessedcsv
2023-01-31,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,Actual,nordnet_salkkuraportti_preprocessed.csv,20230131__nordnet_salkkuraportti__arborrealtytrust__salkku1__823958__actual__nordnet_salkkuraportti_preprocessedcsv
2023-01-31,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,17428.91,Actual,nordnet_salkkuraportti_preprocessed.csv,20230131__nordnet_salkkuraportti__bankofnovascotia__salkku1__1742891__actual__nordnet_salkkuraportti_preprocessedcsv
2023-01-31,nordnet_salkkuraportti,CubeSmart,Salkku 1,6738.83,Actual,nordnet_salkkuraportti_preprocessed.csv,20230131__nordnet_salkkuraportti__cubesmart__salkku1__673883__actual__nordnet_salkkuraportti_preprocessedcsv
2023-01-31,nordnet_salkkuraportti,Likvidit varat,Salkku 3,1692.41,Actual,nordnet_salkkuraportti_preprocessed.csv,20230131__nordnet_salkkuraportti__likviditvarat__salkku3__169241__actual__nordnet_salkkuraportti_preprocessedcsv
2023-01-31,nordnet_salkkuraportti,iShares Core MSCI World UCITS ETF USD (Acc),Salkku 3,18313.61,Actual,nordnet_salkkuraportti_preprocessed.csv,20230131__nordnet_salkkuraportti__isharescoremsciworlducitsetfusdacc__salkku3__1831361__actual__nordnet_salkkuraportti_preprocessedcsv
2024-01-31,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,Actual,nordnet_salkkuraportti_preprocessed.csv,20240131__nordnet_salkkuraportti__arborrealtytrust__salkku1__823958__actual__nordnet_salkkuraportti_preprocessedcsv
2024-01-31,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,17428.91,Actual,nordnet_salkkuraportti_preprocessed.csv,20240131__nordnet_salkkuraportti__bankofnovascotia__salkku1__1742891__actual__nordnet_salkkuraportti_preprocessedcsv
2024-01-31,nordnet_salkkuraportti,CubeSmart,Salkku 1,6738.83,Actual,nordnet_salkkuraportti_preprocessed.csv,20240131__nordnet_salkkuraportti__cubesmart__salkku1__673883__actual__nordnet_salkkuraportti_preprocessedcsv
2023-10-31,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,7155.15,Actual,nordnet_salkkuraportti_preprocessed.csv,20231031__nordnet_salkkuraportti__arborrealtytrust__salkku1__715515__actual__nordnet_salkkuraportti_preprocessedcsv
2023-10-31,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,25456.68,Actual,nordnet_salkkuraportti_preprocessed.csv,20231031__nordnet_salkkuraportti__bankofnovascotia__salkku1__2545668__actual__nordnet_salkkuraportti_preprocessedcsv
2023-10-31,nordnet_salkkuraportti,CubeSmart,Salkku 1,5158.22,Actual,nordnet_salkkuraportti_preprocessed.csv,20231031__nordnet_salkkuraportti__cubesmart__salkku1__515822__actual__nordnet_salkkuraportti_preprocessedcsv
2024-10-31,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,Actual,nordnet_salkkuraportti_preprocessed.csv,20241031__nordnet_salkkuraportti__arborrealtytrust__salkku1__823958__actual__nordnet_salkkuraportti_preprocessedcsv
2024-10-31,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,17428.91,Actual,nordnet_salkkuraportti_preprocessed.csv,20241031__nordnet_salkkuraportti__bankofnovascotia__salkku1__1742891__actual__nordnet_salkkuraportti_preprocessedcsv
2024-10-31,nordnet_salkkuraportti,CubeSmart,Salkku 1,6738.83,Actual,nordnet_salkkuraportti_preprocessed.csv,20241031__nordnet_salkkuraportti__cubesmart__salkku1__673883__actual__nordnet_salkkuraportti_preprocessedcsv
2023-12-31,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8249.99,Actual,nordnet_salkkuraportti_preprocessed.csv,20231231__nordnet_salkkuraportti__arborrealtytrust__salkku1__824999__actual__nordnet_salkkuraportti_preprocessedcsv
2023-12-31,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,29314.14,Actual,nordnet_salkkuraportti_preprocessed.csv,20231231__nordnet_salkkuraportti__bankofnovascotia__salkku1__2931414__actual__nordnet_salkkuraportti_preprocessedcsv
2023-12-31,nordnet_salkkuraportti,CubeSmart,Salkku 1,13014.93,Actual,nordnet_salkkuraportti_preprocessed.csv,20231231__nordnet_salkkuraportti__cubesmart__salkku1__1301493__actual__nordnet_salkkuraportti_preprocessedcsv
2024-12-31,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,Actual,nordnet_salkkuraportti_preprocessed.csv,20241231__nordnet_salkkuraportti__arborrealtytrust__salkku1__823958__actual__nordnet_salkkuraportti_preprocessedcsv
2024-12-31,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,17428.91,Actual,nordnet_salkkuraportti_preprocessed.csv,20241231__nordnet_salkkuraportti__bankofnovascotia__salkku1__1742891__actual__nordnet_salkkuraportti_preprocessedcsv
2024-12-31,nordnet_salkkuraportti,CubeSmart,Salkku 1,6738.83,Actual,nordnet_salkkuraportti_preprocessed.csv,20241231__nordnet_salkkuraportti__cubesmart__salkku1__673883__actual__nordnet_salkkuraportti_preprocessedcsv
2023-03-31,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,6355.66,Actual,nordnet_salkkuraportti_preprocessed.csv,20230331__nordnet_salkkuraportti__arborrealtytrust__salkku1__635566__actual__nordnet_salkkuraportti_preprocessedcsv
2023-03-31,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,16251.22,Actual,nordnet_salkkuraportti_preprocessed.csv,20230331__nordnet_salkkuraportti__bankofnovascotia__salkku1__1625122__actual__nordnet_salkkuraportti_preprocessedcsv
2023-03-31,nordnet_salkkuraportti,CubeSmart,Salkku 1,6817.72,Actual,nordnet_salkkuraportti_preprocessed.csv,20230331__nordnet_salkkuraportti__cubesmart__salkku1__681772__actual__nordnet_salkkuraportti_preprocessedcsv
2023-03-31,nordnet_salkkuraportti,Likvidit varat,Salkku 3,1692.41,Actual,nordnet_salkkuraportti_preprocessed.csv,20230331__nordnet_salkkuraportti__likviditvarat__salkku3__169241__actual__nordnet_salkkuraportti_preprocessedcsv
2023-03-31,nordnet_salkkuraportti,iShares Core MSCI World UCITS ETF USD (Acc),Salkku 3,18456.37,Actual,nordnet_salkkuraportti_preprocessed.csv,20230331__nordnet_salkkuraportti__isharescoremsciworlducitsetfusdacc__salkku3__1845637__actual__nordnet_salkkuraportti_preprocessedcsv
2024-03-31,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,Actual,nordnet_salkkuraportti_preprocessed.csv,20240331__nordnet_salkkuraportti__arborrealtytrust__salkku1__823958__actual__nordnet_salkkuraportti_preprocessedcsv
2024-03-31,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,17428.91,Actual,nordnet_salkkuraportti_preprocessed.csv,20240331__nordnet_salkkuraportti__bankofnovascotia__salkku1__1742891__actual__nordnet_salkkuraportti_preprocessedcsv
2024-03-31,nordnet_salkkuraportti,CubeSmart,Salkku 1,6738.83,Actual,nordnet_salkkuraportti_preprocessed.csv,20240331__nordnet_salkkuraportti__cubesmart__salkku1__673883__actual__nordnet_salkkuraportti_preprocessedcsv
2023-05-31,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,7080.47,Actual,nordnet_salkkuraportti_preprocessed.csv,20230531__nordnet_salkkuraportti__arborrealtytrust__salkku1__708047__actual__nordnet_salkkuraportti_preprocessedcsv
2023-05-31,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,15819.42,Actual,nordnet_salkkuraportti_preprocessed.csv,20230531__nordnet_salkkuraportti__bankofnovascotia__salkku1__1581942__actual__nordnet_salkkuraportti_preprocessedcsv
2023-05-31,nordnet_salkkuraportti,CubeSmart,Salkku 1,6654.11,Actual,nordnet_salkkuraportti_preprocessed.csv,20230531__nordnet_salkkuraportti__cubesmart__salkku1__665411__actual__nordnet_salkkuraportti_preprocessedcsv
2024-05-31,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,Actual,nordnet_salkkuraportti_preprocessed.csv,20240531__nordnet_salkkuraportti__arborrealtytrust__salkku1__823958__actual__nordnet_salkkuraportti_preprocessedcsv
2024-05-31,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,17428.91,Actual,nordnet_salkkuraportti_preprocessed.csv,20240531__nordnet_salkkuraportti__bankofnovascotia__salkku1__1742891__actual__nordnet_salkkuraportti_preprocessedcsv
2024-05-31,nordnet_salkkuraportti,CubeSmart,Salkku 1,6738.83,Actual,nordnet_salkkuraportti_preprocessed.csv,20240531__nordnet_salkkuraportti__cubesmart__salkku1__673883__actual__nordnet_salkkuraportti_preprocessedcsv
2023-07-31,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,9227.57,Actual,nordnet_salkkuraportti_preprocessed.csv,20230731__nordnet_salkkuraportti__arborrealtytrust__salkku1__922757__actual__nordnet_salkkuraportti_preprocessedcsv
2023-07-31,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,30456.51,Actual,nordnet_salkkuraportti_preprocessed.csv,20230731__nordnet_salkkuraportti__bankofnovascotia__salkku1__3045651__actual__nordnet_salkkuraportti_preprocessedcsv
2023-07-31,nordnet_salkkuraportti,CubeSmart,Salkku 1,6309.6,Actual,nordnet_salkkuraportti_preprocessed.csv,20230731__nordnet_salkkuraportti__cubesmart__salkku1__63096__actual__nordnet_salkkuraportti_preprocessedcsv
2024-07-31,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,Actual,nordnet_salkkuraportti_preprocessed.csv,20240731__nordnet_salkkuraportti__arborrealtytrust__salkku1__823958__actual__nordnet_salkkuraportti_preprocessedcsv
2024-07-31,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,17428.91,Actual,nordnet_salkkuraportti_preprocessed.csv,20240731__nordnet_salkkuraportti__bankofnovascotia__salkku1__1742891__actual__nordnet_salkkuraportti_preprocessedcsv
2024-07-31,nordnet_salkkuraportti,CubeSmart,Salkku 1,6738.83,Actual,nordnet_salkkuraportti_preprocessed.csv,20240731__nordnet_salkkuraportti__cubesmart__salkku1__673883__actual__nordnet_salkkuraportti_preprocessedcsv
2023-08-31,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8830.95,Actual,nordnet_salkkuraportti_preprocessed.csv,20230831__nordnet_salkkuraportti__arborrealtytrust__salkku1__883095__actual__nordnet_salkkuraportti_preprocessedcsv
2023-08-31,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,29098.41,Actual,nordnet_salkkuraportti_preprocessed.csv,20230831__nordnet_salkkuraportti__bankofnovascotia__salkku1__2909841__actual__nordnet_salkkuraportti_preprocessedcsv
2023-08-31,nordnet_salkkuraportti,CubeSmart,Salkku 1,6154.36,Actual,nordnet_salkkuraportti_preprocessed.csv,20230831__nordnet_salkkuraportti__cubesmart__salkku1__615436__actual__nordnet_salkkuraportti_preprocessedcsv
2024-08-31,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,Actual,nordnet_salkkuraportti_preprocessed.csv,20240831__nordnet_salkkuraportti__arborrealtytrust__salkku1__823958__actual__nordnet_salkkuraportti_preprocessedcsv
2024-08-31,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,17428.91,Actual,nordnet_salkkuraportti_preprocessed.csv,20240831__nordnet_salkkuraportti__bankofnovascotia__salkku1__1742891__actual__nordnet_salkkuraportti_preprocessedcsv
2024-08-31,nordnet_salkkuraportti,CubeSmart,Salkku 1,6738.83,Actual,nordnet_salkkuraportti_preprocessed.csv,20240831__nordnet_salkkuraportti__cubesmart__salkku1__673883__actual__nordnet_salkkuraportti_preprocessedcsv
,nordnet_salkkuraportti,Arbor Realty Trust,Salkku 1,8239.58,Actual,nordnet_salkkuraportti_preprocessed.csv,__nordnet_salkkuraportti__arborrealtytrust__salkku1__823958__actual__nordnet_salkkuraportti_preprocessedcsv
,nordnet_salkkuraportti,Bank Of Nova Scotia,Salkku 1,17428.91,Actual,nordnet_salkkuraportti_preprocessed.csv,__nordnet_salkkuraportti__bankofnovascotia__salkku1__1742891__actual__nordnet_salkkuraportti_preprocessedcsv
,nordnet_salkkuraportti,CubeSmart,Salkku 1,6738.83,Actual,nordnet_salkkuraportti_preprocessed.csv,__nordnet_salkkuraportti__cubesmart__salkku1__673883__actual__nordnet_salkkuraportti_preprocessedcsv
2023-06-16,osingot,O,ENNAKKOPIDÄTYS,-13.28,Actual,osingot-2023-2024.csv,20230616__osingot__o__ennakkopidätys__1328__actual__osingot20232024csv
2023-06-16,osingot,O,OSINKO,88.56,Actual,osingot-2023-2024.csv,20230616__osingot__o__osinko__8856__actual__osingot20232024csv
2023-05-16,osingot,O,ENNAKKOPIDÄTYS,-13.36,Actual,osingot-2023-2024.csv,20230516__osingot__o__ennakkopidätys__1336__actual__osingot20232024csv
2023-05-16,osingot,O,OSINKO,89.05,Actual,osingot-2023-2024.csv,20230516__osingot__o__osinko__8905__actual__osingot20232024csv
2023-04-17,osingot,O,ENNAKKOPIDÄTYS,-13.22,Actual,osingot-2023-2024.csv,20230417__osingot__o__ennakkopidätys__1322__actual__osingot20232024csv
2023-04-17,osingot,O,OSINKO,88.11,Actual,osingot-2023-2024.csv,20230417__osingot__o__osinko__8811__actual__osingot20232024csv
2023-03-16,osingot,O,ENNAKKOPIDÄTYS,-13.66,Actual,osingot-2023-2024.csv,20230316__osingot__o__ennakkopidätys__1366__actual__osingot20232024csv
2023-03-16,osingot,O,OSINKO,91.05,Actual,osingot-2023-2024.csv,20230316__osingot__o__osinko__9105__actual__osingot20232024csv
2023-02-16,osingot,O,ENNAKKOPIDÄTYS,-13.22,Actual,osingot-2023-2024.csv,20230216__osingot__o__ennakkopidätys__1322__actual__osingot20232024csv
2023-02-16,osingot,O,OSINKO,88.13,Actual,osingot-2023-2024.csv,20230216__osingot__o__osinko__8813__actual__osingot20232024csv
2023-01-16,osingot,O,ENNAKKOPIDÄTYS,-13.1,Actual,osingot-2023-2024.csv,20230116__osingot__o__ennakkopidätys__131__actual__osingot20232024csv
