not_unique_id,date_current,description_current,info_current,amount_current,rule_id_current,owner_current,class_current,category_current,sub_category_current,change_description,change_reason
20240331__varat__asunto____100000.0__actual__mkk,2024-03-31,Asunto,,100000.0,1,mkk,varat,asunto,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240228__varat__asunto____100000.0__actual__mkk,2024-02-28,Asunto,,100000.0,1,mkk,varat,asunto,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240630__varat__asunto____100000.0__actual__mkk,2024-06-30,Asunto,,100000.0,1,mkk,varat,asunto,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240131__varat__asunto____100000.0__actual__mkk,2024-01-31,Asunto,,100000.0,1,mkk,varat,asunto,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20231231__varat__asunto____100000.0__actual__mkk,2023-12-31,Asunto,,100000.0,1,mkk,varat,asunto,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20231130__varat__asunto____100000.0__actual__mkk,2023-11-30,Asunto,,100000.0,1,mkk,varat,asunto,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240731__varat__asunto____100000.0__actual__mkk,2024-07-31,Asunto,,100000.0,1,mkk,varat,asunto,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20231031__varat__asunto____100000.0__actual__mkk,2023-10-31,Asunto,,100000.0,1,mkk,varat,asunto,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230930__varat__asunto____100000.0__actual__mkk,2023-09-30,Asunto,,100000.0,1,mkk,varat,asunto,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240831__varat__asunto____100000.0__actual__mkk,2024-08-31,Asunto,,100000.0,1,mkk,varat,asunto,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230831__varat__asunto____100000.0__actual__mkk,2023-08-31,Asunto,,100000.0,1,mkk,varat,asunto,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230731__varat__asunto____100000.0__actual__mkk,2023-07-31,Asunto,,100000.0,1,mkk,varat,asunto,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240930__varat__asunto____100000.0__actual__mkk,2024-09-30,Asunto,,100000.0,1,mkk,varat,asunto,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240531__varat__asunto____100000.0__actual__mkk,2024-05-31,Asunto,,100000.0,1,mkk,varat,asunto,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230630__varat__asunto____100000.0__actual__mkk,2023-06-30,Asunto,,100000.0,1,mkk,varat,asunto,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20241231__varat__asunto____100000.0__actual__mkk,2024-12-31,Asunto,,100000.0,1,mkk,varat,asunto,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230430__varat__asunto____100000.0__actual__mkk,2023-04-30,Asunto,,100000.0,1,mkk,varat,asunto,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20241031__varat__asunto____100000.0__actual__mkk,2024-10-31,Asunto,,100000.0,1,mkk,varat,asunto,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230228__varat__asunto____100000.0__actual__mkk,2023-02-28,Asunto,,100000.0,1,mkk,varat,asunto,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230331__varat__asunto____100000.0__actual__mkk,2023-03-31,Asunto,,100000.0,1,mkk,varat,asunto,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230531__varat__asunto____100000.0__actual__mkk,2023-05-31,Asunto,,100000.0,1,mkk,varat,asunto,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20241130__varat__asunto____100000.0__actual__mkk,2024-11-30,Asunto,,100000.0,1,mkk,varat,asunto,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240131__nordnet_salkkuraportti__bank of nova scotia__salkku 1__17428.91__actual__mkk,2024-01-31,Bank Of Nova Scotia,Salkku 1,17428.91,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20231031__nordnet_salkkuraportti__bank of nova scotia__salkku 1__25456.68__actual__mkk,2023-10-31,Bank Of Nova Scotia,Salkku 1,25456.68,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230531__nordnet_salkkuraportti__bank of nova scotia__salkku 1__15819.42__actual__mkk,2023-05-31,Bank Of Nova Scotia,Salkku 1,15819.42,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230430__nordnet_salkkuraportti__bank of nova scotia__salkku 1__15858.1__actual__mkk,2023-04-30,Bank Of Nova Scotia,Salkku 1,15858.1,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240228__nordnet_salkkuraportti__bank of nova scotia__salkku 1__17428.91__actual__mkk,2024-02-28,Bank Of Nova Scotia,Salkku 1,17428.91,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230227__nordnet_salkkuraportti__bank of nova scotia__salkku 1__17372.94__actual__mkk,2023-02-27,Bank Of Nova Scotia,Salkku 1,17372.94,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20231231__nordnet_salkkuraportti__bank of nova scotia__salkku 1__29314.14__actual__mkk,2023-12-31,Bank Of Nova Scotia,Salkku 1,29314.14,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20241231__nordnet_salkkuraportti__bank of nova scotia__salkku 1__17428.91__actual__mkk,2024-12-31,Bank Of Nova Scotia,Salkku 1,17428.91,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240331__nordnet_salkkuraportti__bank of nova scotia__salkku 1__17428.91__actual__mkk,2024-03-31,Bank Of Nova Scotia,Salkku 1,17428.91,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240831__nordnet_salkkuraportti__bank of nova scotia__salkku 1__17428.91__actual__mkk,2024-08-31,Bank Of Nova Scotia,Salkku 1,17428.91,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20241031__nordnet_salkkuraportti__bank of nova scotia__salkku 1__17428.91__actual__mkk,2024-10-31,Bank Of Nova Scotia,Salkku 1,17428.91,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
__nordnet_salkkuraportti__bank of nova scotia__salkku 1__17428.91__actual__mkk,,Bank Of Nova Scotia,Salkku 1,17428.91,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230131__nordnet_salkkuraportti__bank of nova scotia__salkku 1__17428.91__actual__mkk,2023-01-31,Bank Of Nova Scotia,Salkku 1,17428.91,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240930__nordnet_salkkuraportti__bank of nova scotia__salkku 1__17428.91__actual__mkk,2024-09-30,Bank Of Nova Scotia,Salkku 1,17428.91,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20231130__nordnet_salkkuraportti__bank of nova scotia__salkku 1__27330.59__actual__mkk,2023-11-30,Bank Of Nova Scotia,Salkku 1,27330.59,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230831__nordnet_salkkuraportti__bank of nova scotia__salkku 1__29098.41__actual__mkk,2023-08-31,Bank Of Nova Scotia,Salkku 1,29098.41,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230930__nordnet_salkkuraportti__bank of nova scotia__salkku 1__28192.33__actual__mkk,2023-09-30,Bank Of Nova Scotia,Salkku 1,28192.33,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230331__nordnet_salkkuraportti__bank of nova scotia__salkku 1__16251.22__actual__mkk,2023-03-31,Bank Of Nova Scotia,Salkku 1,16251.22,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230731__nordnet_salkkuraportti__bank of nova scotia__salkku 1__30456.51__actual__mkk,2023-07-31,Bank Of Nova Scotia,Salkku 1,30456.51,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240531__nordnet_salkkuraportti__bank of nova scotia__salkku 1__17428.91__actual__mkk,2024-05-31,Bank Of Nova Scotia,Salkku 1,17428.91,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240630__nordnet_salkkuraportti__bank of nova scotia__salkku 1__17428.91__actual__mkk,2024-06-30,Bank Of Nova Scotia,Salkku 1,17428.91,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240731__nordnet_salkkuraportti__bank of nova scotia__salkku 1__17428.91__actual__mkk,2024-07-31,Bank Of Nova Scotia,Salkku 1,17428.91,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20241130__nordnet_salkkuraportti__bank of nova scotia__salkku 1__17428.91__actual__mkk,2024-11-30,Bank Of Nova Scotia,Salkku 1,17428.91,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230630__nordnet_salkkuraportti__bank of nova scotia__salkku 1__16046.62__actual__mkk,2023-06-30,Bank Of Nova Scotia,Salkku 1,16046.62,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230531__nordnet_salkkuraportti__cubesmart__salkku 1__6654.11__actual__mkk,2023-05-31,CubeSmart,Salkku 1,6654.11,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240731__nordnet_salkkuraportti__cubesmart__salkku 1__6738.83__actual__mkk,2024-07-31,CubeSmart,Salkku 1,6738.83,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240831__nordnet_salkkuraportti__cubesmart__salkku 1__6738.83__actual__mkk,2024-08-31,CubeSmart,Salkku 1,6738.83,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230731__nordnet_salkkuraportti__cubesmart__salkku 1__6309.6__actual__mkk,2023-07-31,CubeSmart,Salkku 1,6309.6,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240531__nordnet_salkkuraportti__cubesmart__salkku 1__6738.83__actual__mkk,2024-05-31,CubeSmart,Salkku 1,6738.83,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240331__nordnet_salkkuraportti__cubesmart__salkku 1__6738.83__actual__mkk,2024-03-31,CubeSmart,Salkku 1,6738.83,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230831__nordnet_salkkuraportti__cubesmart__salkku 1__6154.36__actual__mkk,2023-08-31,CubeSmart,Salkku 1,6154.36,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240131__nordnet_salkkuraportti__cubesmart__salkku 1__6738.83__actual__mkk,2024-01-31,CubeSmart,Salkku 1,6738.83,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230630__nordnet_salkkuraportti__cubesmart__salkku 1__6547.12__actual__mkk,2023-06-30,CubeSmart,Salkku 1,6547.12,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230227__nordnet_salkkuraportti__cubesmart__salkku 1__7034.91__actual__mkk,2023-02-27,CubeSmart,Salkku 1,7034.91,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240228__nordnet_salkkuraportti__cubesmart__salkku 1__6738.83__actual__mkk,2024-02-28,CubeSmart,Salkku 1,6738.83,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20231130__nordnet_salkkuraportti__cubesmart__salkku 1__11323.45__actual__mkk,2023-11-30,CubeSmart,Salkku 1,11323.45,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20241130__nordnet_salkkuraportti__cubesmart__salkku 1__6738.83__actual__mkk,2024-11-30,CubeSmart,Salkku 1,6738.83,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230430__nordnet_salkkuraportti__cubesmart__salkku 1__6604.95__actual__mkk,2023-04-30,CubeSmart,Salkku 1,6604.95,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240630__nordnet_salkkuraportti__cubesmart__salkku 1__6738.83__actual__mkk,2024-06-30,CubeSmart,Salkku 1,6738.83,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230930__nordnet_salkkuraportti__cubesmart__salkku 1__5770.41__actual__mkk,2023-09-30,CubeSmart,Salkku 1,5770.41,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20240930__nordnet_salkkuraportti__cubesmart__salkku 1__6738.83__actual__mkk,2024-09-30,CubeSmart,Salkku 1,6738.83,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
__nordnet_salkkuraportti__cubesmart__salkku 1__6738.83__actual__mkk,,CubeSmart,Salkku 1,6738.83,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20231031__nordnet_salkkuraportti__cubesmart__salkku 1__5158.22__actual__mkk,2023-10-31,CubeSmart,Salkku 1,5158.22,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20241031__nordnet_salkkuraportti__cubesmart__salkku 1__6738.83__actual__mkk,2024-10-31,CubeSmart,Salkku 1,6738.83,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20231231__nordnet_salkkuraportti__cubesmart__salkku 1__13014.93__actual__mkk,2023-12-31,CubeSmart,Salkku 1,13014.93,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20241231__nordnet_salkkuraportti__cubesmart__salkku 1__6738.83__actual__mkk,2024-12-31,CubeSmart,Salkku 1,6738.83,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230331__nordnet_salkkuraportti__cubesmart__salkku 1__6817.72__actual__mkk,2023-03-31,CubeSmart,Salkku 1,6817.72,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230131__nordnet_salkkuraportti__cubesmart__salkku 1__6738.83__actual__mkk,2023-01-31,CubeSmart,Salkku 1,6738.83,10,mkk,varat,sijoitusvarallisuus,osinkosalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230329__penno__kahvittelu__pulla__-3.5__actual__mkk,2023-03-29,Kahvittelu,Pulla,-3.5,19,mkk,menot,ruoka,välipalat,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230329__penno__liikenne__bussi__-3.1__actual__mkk,2023-03-29,Liikenne,Bussi,-3.1,20,mkk,menot,liikkuminen,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230328__penno__liikenne__juna__-19.1__actual__mkk,2023-03-28,Liikenne,Juna,-19.1,20,mkk,menot,liikkuminen,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230311__penno__liikenne__juna__-13.4__actual__mkk,2023-03-11,Liikenne,Juna,-13.4,20,mkk,menot,liikkuminen,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230131__nordnet_salkkuraportti__likvidit varat__salkku 3__1692.41__actual__mkk,2023-01-31,Likvidit varat,Salkku 3,1692.41,11,mkk,varat,sijoitusvarallisuus,kasvusalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230331__nordnet_salkkuraportti__likvidit varat__salkku 3__1692.41__actual__mkk,2023-03-31,Likvidit varat,Salkku 3,1692.41,11,mkk,varat,sijoitusvarallisuus,kasvusalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230430__nordnet_salkkuraportti__likvidit varat__salkku 3__1692.41__actual__mkk,2023-04-30,Likvidit varat,Salkku 3,1692.41,11,mkk,varat,sijoitusvarallisuus,kasvusalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230227__nordnet_salkkuraportti__likvidit varat__salkku 3__1692.41__actual__mkk,2023-02-27,Likvidit varat,Salkku 3,1692.41,11,mkk,varat,sijoitusvarallisuus,kasvusalkku,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
20230314__penno__muut____-25.0__actual__mkk,2023-03-14,Muut,,-25.0,24,mkk,menot,muut,,This row is created with new id. No comparison can be done.,This happens when owner or any source data field information changes i.e. amount or description
